,mode,All Modes by Qtr,Boat,Bus,Commuter Rail,Heavy Rail,Light Rail,Pct Chg / Yr,Private Bus,RIDE,Trackless Trolley,TOTAL
1,2007-01,1242.5139473684212,4.0,335.819,142.2,435.294,227.231,0.02,4.772,4.9,12.757,1166.974
2,2007-02,1242.5139473684212,3.6,338.675,138.5,448.271,240.262,-0.04,4.417,5.0,12.913,1191.639
3,2007-03,1187.653,40.0,339.867,137.7,458.583,241.444,0.114,4.574,5.5,13.057,1204.725
4,2007-04,1242.5139473684212,4.3,352.162,139.5,472.201,255.557,-0.002,4.542,5.4,13.444,1247.105
5,2007-05,1242.5139473684212,4.9,354.367,139.0,474.579,248.262,0.049,4.768,5.4,13.479,1244.755
6,2007-06,1245.959,5.8,350.543,143.0,477.032,246.108,0.096,4.722,5.6,13.323,1246.129
7,2007-07,1242.5139473684212,6.521,357.519,142.391,471.735,243.286,-0.037,3.936,5.253,13.311,1243.952
8,2007-08,1242.5139473684212,6.572,355.479,142.364,461.605,234.907,0.004,3.946,5.308,13.142,1223.323
9,2007-09,1256.571,5.469,372.598,143.051,499.566,265.748,-0.007,4.329,5.609,14.393,1310.764
10,2007-10,1242.5139473684212,5.145,368.847,146.542,457.741,241.434,-0.064,4.315,5.806,14.622,1244.453
11,2007-11,1242.5139473684212,3.763,330.826,145.089,488.348,250.497,-0.077,4.081,5.667,13.624,1241.895
12,2007-12,1216.89,2.985,312.92,141.585,448.268,233.379,-0.06,3.708,5.062,12.41,1160.317
13,2008-01,1242.5139473684212,3.175,340.324,142.145,472.624,241.223,0.048,4.122,5.535,13.902,1223.05
14,2008-02,1242.5139473684212,3.111,352.905,142.607,492.1,249.306,0.061,4.079,5.704,14.172,1263.983
15,2008-03,1253.522,3.512,361.155,137.453,494.046,253.132,0.058,4.175,6.164,14.394,1274.031
16,2008-04,1242.5139473684212,4.164,368.189,140.389,513.204,271.07,0.06,4.144,6.263,14.722,1322.146
17,2008-05,1242.5139473684212,4.015,363.903,142.585,507.952,258.351,0.046,4.079,6.279,14.427,1301.591
18,2008-06,1314.821,5.189,362.962,142.057,518.349,266.961,0.06,4.4,6.294,14.515,1320.728
19,2008-07,1242.5139473684212,6.016,370.921,145.731,512.309,270.158,0.069,4.548,6.028,14.392,1330.103
20,2008-08,1242.5139473684212,5.8,361.057,144.565,476.99,239.344,0.023,4.286,6.148,13.716,1251.905
21,2008-09,1307.041,4.587,389.537,141.907,517.324,258.171,0.021,4.878,6.503,15.109,1338.015
22,2008-10,1242.5139473684212,4.285,357.974,151.957,523.644,250.063,0.054,4.556,6.678,13.014,1312.172
23,2008-11,1242.5139473684212,3.488,345.423,152.952,487.115,232.068,0.002,4.302,6.41,12.596,1244.354
24,2008-12,1232.655,3.007,325.767,140.81,446.743,205.42,-0.015,3.42,5.957,11.91,1143.034
25,2009-01,1242.5139473684212,3.014,338.532,141.448,461.004,215.66,-0.034,3.584,5.991,12.301,1181.534
26,2009-02,1242.5139473684212,3.196,360.412,143.529,482.407,228.737,-0.02,3.604,6.708,9.645,1238.239
27,2009-03,1209.792,3.33,353.686,142.893,467.224,222.844,-0.05,2.586,6.675,11.674,1210.912
28,2009-04,1242.5139473684212,4.049,359.38,142.34,493.152,238.232,-0.048,2.824,6.734,11.326,1258.037
29,2009-05,1242.5139473684212,4.119,354.75,144.225,475.634,224.962,-0.058,2.735,6.693,12.49,1225.608
30,2009-06,1233.085,4.9,347.865,142.006,473.099,226.259,-0.079,2.763,6.79,12.382,1216.065
31,2009-07,1242.5139473684212,6.444,339.477,137.691,470.828,230.308,-0.094,2.655,6.249,11.426,1205.079
32,2009-08,1242.5139473684212,5.903,332.661,139.158,466.676,231.783,-0.044,2.504,6.423,12.05,1197.158
33,2009-09,1230.461,4.696,374.26,139.087,500.403,250.922,-0.035,2.716,6.69,12.79,1291.564
34,2009-10,1242.5139473684212,4.212,385.868,137.104,513.406,230.739,-0.014,2.584,6.897,13.252,1294.064
35,2009-11,1242.5139473684212,3.576,366.98,129.343,480.278,214.711,-0.022,2.721,6.565,12.651,1216.824
36,2009-12,1207.845,3.113,332.394,126.066,440.925,194.446,-0.022,2.365,6.454,11.62,1117.382
37,2010-01,1242.5139473684212,3.207,362.226,130.91,464.069,204.396,0.004,2.682,6.516,12.265,1186.271
38,2010-02,1242.5139473684212,3.195,361.138,131.918,480.121,213.136,-0.022,2.498,6.665,12.558,1211.228
39,2010-03,1208.857,3.481,373.443,131.252,483.397,211.693,0.012,2.55,7.066,12.673,1225.556
40,2010-04,1242.5139473684212,4.452,378.611,131.722,502.374,227.246,0.007,2.639,7.166,13.017,1267.226
41,2010-05,1242.5139473684212,4.415,380.171,128.8,487.4,217.805,0.013,2.686,7.1,12.771,1241.148
42,2010-06,1244.409,5.411,363.275,129.144,490.263,215.922,0.008,2.646,7.46,11.473,1225.593
43,2010-07,1242.5139473684212,6.513,353.04,122.935,488.587,218.729,0.001,2.547,6.965,6.584,1205.901
44,2010-08,1242.5139473684212,6.269,343.688,129.732,473.731,210.53,-0.015,2.433,7.045,6.316,1179.745
45,2010-09,1225.527,4.699,381.622,132.892,521.099,236.368,0.001,2.652,7.349,6.436,1293.117
46,2010-10,1242.5139473684212,4.402,384.987,131.033,532.403,236.366,0.009,2.616,7.646,6.819,1306.271
47,2010-11,1242.5139473684212,3.731,367.955,130.889,502.887,221.881,0.022,2.528,7.444,6.415,1243.73
48,2010-12,1216.262,3.156,326.338,121.422,450.433,196.211,-0.004,2.379,7.199,5.777,1112.915
49,2011-01,1242.5139473684212,3.14,334.958,128.396,468.418,198.45,-0.028,2.213,6.735,11.104,1153.413
50,2011-02,1242.5139473684212,3.284,346.234,125.463,504.068,219.886,0.008,2.57,7.463,11.695,1220.663
51,2011-03,1223.452,3.674,380.399,134.374,516.73,227.935,0.05,2.559,8.387,12.601,1286.66
52,2011-04,1242.5139473684212,4.251,380.446,134.169,528.631,242.28,0.036,2.762,8.145,12.599,1313.283
53,2011-05,1242.5139473684212,4.431,385.289,136.14,528.122,225.776,0.05,2.776,8.059,12.291,1302.884
54,2011-06,1302.414,5.474,376.317,135.581,529.528,221.865,0.054,2.815,8.377,12.128,1292.085
55,2011-07,1242.5139473684212,6.581,361.585,132.41,532.888,231.01,0.067,2.671,7.902,11.06,1286.107
56,2011-08,1242.5139473684212,6.733,353.793,130.616,508.145,220.164,0.052,2.655,8.071,11.091,1241.268
57,2011-09,1290.549,5.003,388.271,136.901,550.137,244.949,0.043,2.843,8.318,12.332,1348.754
58,2011-10,1242.5139473684212,4.484,398.456,128.72,554.932,237.768,0.032,2.967,8.598,12.297,1348.222
